trip_id,route_id,route_name,date,departure_time,scheduled_arrival,actual_arrival,passengers,capacity,trip_status,fare,distance_km,delay_minutes,utilization_rate,revenue,day_of_week,month,peak_hour
T00021,R06,East Park - Central Station,2026-06-15,19:50,20:08,20:23,42,50,Completed,23.65,9.8,15,0.84,993.3,Monday,2026-06,Peak
T00022,R05,South Terminal - City Center,2026-01-11,11:50,12:11,12:17,26,50,Completed,27.72,11.7,6,0.52,720.72,Sunday,2026-01,Off-Peak
T00023,R02,Central Station - University,2026-05-19,14:20,14:42,14:51,53,60,Completed,28.59,12.2,9,0.8833,1515.27,Tuesday,2026-05,Off-Peak
T00024,R08,City Center - Medical Hub,2025-06-15,10:20,10:36,10:49,26,50,Completed,23.97,8.9,13,0.52,623.22,Sunday,2025-06,Off-Peak
T00025,R12,South Terminal - University,2025-06-30,15:40,16:04,16:06,75,50,Completed,27.93,13.1,2,1.5,2094.75,Monday,2025-06,Off-Peak
T00026,R14,West End - Airport,2026-03-20,09:50,10:26,10:45,45,50,Cancelled,43.46,19.2,19,0.9,0.0,Friday,2026-03,Peak
T00027,R06,East Park - Central Station,2025-11-28,13:10,13:28,13:33,20,60,Completed,24.23,9.8,5,0.3333,484.6,Friday,2025-11,Off-Peak
T00028,R02,Central Station - University,2026-05-18,15:10,15:32,15:44,47,50,Completed,29.42,12.2,12,0.94,1382.74,Monday,2026-05,Off-Peak
T00029,R12,South Terminal - University,2025-03-20,14:20,14:44,14:56,62,50,Completed,26.97,13.1,12,1.24,1672.14,Thursday,2025-03,Off-Peak
T00030,R05,South Terminal - City Center,2026-01-31,10:00,10:21,10:25,34,60,Completed,26.14,11.7,4,0.5667,888.76,Saturday,2026-01,Off-Peak
T00031,R01,Central Station - Airport,2025-04-13,10:00,10:34,10:41,41,50,Completed,42.01,18.5,7,0.82,1722.41,Sunday,2025-04,Off-Peak
T00032,R12,South Terminal - University,2026-02-06,16:30,16:54,16:54,55,60,Completed,31.53,13.1,0,0.9167,1734.15,Friday,2026-02,Off-Peak
T00033,R10,Industrial Area - Airport,2025-08-12,18:10,18:49,19:01,36,60,Completed,43.63,21.1,12,0.6,1570.68,Tuesday,2025-08,Peak
T00034,R06,East Park - Central Station,2026-06-02,19:00,19:18,19:25,39,50,Completed,22.69,9.8,7,0.78,884.91,Tuesday,2026-06,Peak
T00035,R13,East Park - Medical Hub,2025-08-24,18:20,18:41,18:49,31,50,Completed,28.36,11.5,8,0.62,879.16,Sunday,2025-08,Peak
T00036,R12,South Terminal - University,2026-03-03,21:30,21:54,22:01,66,50,Completed,31.93,13.1,7,1.32,2107.38,Tuesday,2026-03,Off-Peak
T00037,R09,University - Airport,2025-04-26,13:10,13:40,13:49,33,70,Completed,38.35,16.3,9,0.4714,1265.55,Saturday,2025-04,Off-Peak
T00038,R01,Central Station - Airport,2025-06-12,12:30,13:04,13:08,65,60,Completed,42.24,18.5,4,1.0833,2745.6,Thursday,2025-06,Off-Peak
T00039,R11,North Terminal - University,2025-08-14,07:00,07:27,07:38,46,50,Completed,35.05,14.7,11,0.92,1612.3,Thursday,2025-08,Peak
T00040,R11,North Terminal - University,2025-08-18,13:20,13:47,13:52,24,50,Completed,35.29,14.7,5,0.48,846.96,Monday,2025-08,Off-Peak
T00041,R15,City Center - Railway Colony,2025-07-01,15:20,15:34,15:43,25,60,Completed,20.54,7.6,9,0.4167,513.5,Tuesday,2025-07,Off-Peak
T00042,R10,Industrial Area - Airport,2025-09-06,18:20,18:59,19:11,44,60,Completed,49.67,21.1,12,0.7333,2185.48,Saturday,2025-09,Peak
T00043,R12,South Terminal - University,2025-11-14,11:00,11:24,11:27,69,50,Completed,30.67,13.1,3,1.38,2116.23,Friday,2025-11,Off-Peak
T00044,R12,South Terminal - University,2025-07-29,14:40,15:04,15:08,80,50,Completed,32.47,13.1,4,1.6,2597.6,Tuesday,2025-07,Off-Peak
T00045,R15,City Center - Railway Colony,2026-01-27,15:50,16:04,16:10,26,60,Completed,18.67,7.6,6,0.4333,485.42,Tuesday,2026-01,Off-Peak
T00046,R14,West End - Airport,2025-04-06,14:50,15:26,15:38,14,70,Completed,43.21,19.2,12,0.2,604.94,Sunday,2025-04,Off-Peak
T00047,R14,West End - Airport,2025-03-27,11:20,11:56,12:11,29,50,Completed,45.86,19.2,15,0.58,1329.94,Thursday,2025-03,Off-Peak
T00048,R15,City Center - Railway Colony,2026-02-19,17:50,18:04,18:12,42,50,Completed,22.31,7.6,8,0.84,937.02,Thursday,2026-02,Peak
T00049,R14,West End - Airport,2026-01-29,10:40,11:16,11:18,27,50,Completed,43.66,19.2,2,0.54,1178.82,Thursday,2026-01,Off-Peak
T00050,R03,Central Station - Industrial Area,2026-05-16,19:20,19:49,20:07,42,50,Cancelled,37.16,15.8,18,0.84,0.0,Saturday,2026-05,Peak
T00051,R12,South Terminal - University,2025-05-13,20:40,21:04,21:13,58,50,Completed,27.6,13.1,9,1.16,1600.8,Tuesday,2025-05,Off-Peak
T00052,R07,West End - Central Station,2025-11-10,12:10,12:35,12:43,37,50,Completed,31.11,13.6,8,0.74,1151.07,Monday,2025-11,Off-Peak
T00053,R04,North Terminal - City Center,2025-08-09,12:50,13:09,13:11,20,60,Completed,25.79,10.4,2,0.3333,515.8,Saturday,2025-08,Off-Peak
T00054,R09,University - Airport,2026-03-14,17:10,17:40,17:51,44,50,Completed,37.04,16.3,11,0.88,1629.76,Saturday,2026-03,Peak
T00055,R03,Central Station - Industrial Area,2025-02-15,13:20,13:49,14:01,22,50,Completed,36.26,15.8,12,0.44,797.72,Saturday,2025-02,Off-Peak
T00056,R05,South Terminal - City Center,2025-07-11,07:30,07:51,07:56,54,60,Completed,27.8,11.7,5,0.9,1501.2,Friday,2025-07,Peak
T00057,R03,Central Station - Industrial Area,2026-06-04,20:30,20:59,21:12,48,60,Completed,37.5,15.8,13,0.8,1800.0,Thursday,2026-06,Off-Peak
T00058,R07,West End - Central Station,2026-01-14,13:00,13:25,13:34,27,60,Completed,29.2,13.6,9,0.45,788.4,Wednesday,2026-01,Off-Peak
T00059,R05,South Terminal - City Center,2025-11-30,10:10,10:31,10:43,25,50,Completed,30.1,11.7,12,0.5,752.5,Sunday,2025-11,Off-Peak
T00060,R09,University - Airport,2025-02-08,14:10,14:40,14:50,24,50,Completed,38.69,16.3,10,0.48,928.56,Saturday,2025-02,Off-Peak
T00061,R07,West End - Central Station,2025-10-20,11:30,11:55,11:55,31,50,Completed,31.94,13.6,0,0.62,990.14,Monday,2025-10,Off-Peak
T00062,R02,Central Station - University,2025-06-11,11:20,11:42,11:45,51,60,Completed,28.62,12.2,3,0.85,1459.62,Wednesday,2025-06,Off-Peak
T00063,R04,North Terminal - City Center,2025-11-27,14:00,14:19,14:29,42,50,Completed,23.02,10.4,10,0.84,966.84,Thursday,2025-11,Off-Peak
T00064,R09,University - Airport,2025-04-14,13:10,13:40,13:42,41,50,Completed,37.32,16.3,2,0.82,1530.12,Monday,2025-04,Off-Peak
T00065,R12,South Terminal - University,2025-06-10,14:00,14:24,14:28,62,50,Completed,28.36,13.1,4,1.24,1758.32,Tuesday,2025-06,Off-Peak
T00066,R14,West End - Airport,2025-02-23,22:10,22:46,22:54,29,70,Completed,45.57,19.2,8,0.4143,1321.53,Sunday,2025-02,Off-Peak
T00067,R02,Central Station - University,2025-02-03,18:40,19:02,19:11,85,70,Completed,29.89,12.2,9,1.2143,2540.65,Monday,2025-02,Peak
T00068,R10,Industrial Area - Airport,2025-08-30,06:40,07:19,07:20,32,60,Completed,47.88,21.1,1,0.5333,1532.16,Saturday,2025-08,Off-Peak
T00069,R09,University - Airport,2025-04-23,08:00,08:30,08:43,57,50,Completed,35.38,16.3,13,1.14,2016.66,Wednesday,2025-04,Peak
T00070,R10,Industrial Area - Airport,2025-11-14,15:30,16:09,16:17,33,60,Completed,45.36,21.1,8,0.55,1496.88,Friday,2025-11,Off-Peak
T00071,R05,South Terminal - City Center,2025-01-23,15:30,15:51,15:59,34,60,Completed,25.91,11.7,8,0.5667,880.94,Thursday,2025-01,Off-Peak
T00072,R02,Central Station - University,2025-04-28,19:10,19:32,19:42,80,60,Completed,28.32,12.2,10,1.3333,2265.6,Monday,2025-04,Peak
T00073,R04,North Terminal - City Center,2025-07-31,15:50,16:09,16:09,39,70,Completed,26.95,10.4,0,0.5571,1051.05,Thursday,2025-07,Off-Peak
T00074,R12,South Terminal - University,2026-02-22,11:40,12:04,12:08,75,50,Completed,31.6,13.1,4,1.5,2370.0,Sunday,2026-02,Off-Peak
T00075,R15,City Center - Railway Colony,2025-04-23,13:40,13:54,13:57,26,70,Completed,19.82,7.6,3,0.3714,515.32,Wednesday,2025-04,Off-Peak
T00076,R12,South Terminal - University,2025-02-13,18:00,18:24,18:35,86,70,Completed,30.15,13.1,11,1.2286,2592.9,Thursday,2025-02,Peak
T00077,R07,West End - Central Station,2025-05-08,20:50,21:15,21:25,33,60,Completed,31.35,13.6,10,0.55,1034.55,Thursday,2025-05,Off-Peak
T00078,R12,South Terminal - University,2025-06-07,11:00,11:24,11:29,51,60,Completed,31.33,13.1,5,0.85,1597.83,Saturday,2025-06,Off-Peak
T00079,R13,East Park - Medical Hub,2026-01-29,14:30,14:51,15:01,30,50,Completed,27.19,11.5,10,0.6,815.7,Thursday,2026-01,Off-Peak
T00080,R08,City Center - Medical Hub,2026-05-27,10:30,10:46,10:58,33,60,Completed,22.0,8.9,12,0.55,726.0,Wednesday,2026-05,Off-Peak
T00081,R15,City Center - Railway Colony,2025-02-14,14:50,15:04,15:13,29,60,Completed,16.85,7.6,9,0.4833,488.65,Friday,2025-02,Off-Peak
T00082,R03,Central Station - Industrial Area,2025-04-18,09:50,10:19,10:39,55,50,Completed,38.81,15.8,20,1.1,2134.55,Friday,2025-04,Peak
T00083,R14,West End - Airport,2025-08-07,20:30,21:06,21:10,40,50,Cancelled,41.4,19.2,4,0.8,0.0,Thursday,2025-08,Off-Peak
T00084,R01,Central Station - Airport,2026-03-19,15:20,15:54,16:05,59,60,Completed,42.21,18.5,11,0.9833,2490.39,Thursday,2026-03,Off-Peak
T00085,R04,North Terminal - City Center,2025-11-11,18:40,18:59,19:08,70,70,Completed,24.79,10.4,9,1.0,1735.3,Tuesday,2025-11,Peak
T00086,R02,Central Station - University,2025-06-26,22:40,23:02,23:10,68,50,Completed,29.66,12.2,8,1.36,2016.88,Thursday,2025-06,Off-Peak
T00087,R08,City Center - Medical Hub,2025-08-16,10:00,10:16,10:17,29,50,Completed,22.76,8.9,1,0.58,660.04,Saturday,2025-08,Off-Peak
T00088,R04,North Terminal - City Center,2025-09-24,16:40,16:59,17:14,43,60,Completed,26.78,10.4,15,0.7167,1151.54,Wednesday,2025-09,Off-Peak
T00089,R02,Central Station - University,2026-01-14,19:00,19:22,19:30,84,50,Completed,27.65,12.2,8,1.68,2322.6,Wednesday,2026-01,Peak
T00090,R14,West End - Airport,2026-05-04,14:50,15:26,15:38,33,70,Completed,45.05,19.2,12,0.4714,1486.65,Monday,2026-05,Off-Peak
T00091,R06,East Park - Central Station,2025-10-17,15:50,16:08,16:22,30,60,Completed,23.69,9.8,14,0.5,710.7,Friday,2025-10,Off-Peak
T00092,R06,East Park - Central Station,2025-12-23,13:20,13:38,13:45,32,70,Completed,24.58,9.8,7,0.4571,786.56,Tuesday,2025-12,Off-Peak
T00093,R10,Industrial Area - Airport,2025-07-23,16:50,17:29,17:43,26,60,Completed,48.97,21.1,14,0.4333,1273.22,Wednesday,2025-07,Off-Peak
T00094,R04,North Terminal - City Center,2025-08-01,13:30,13:49,13:51,49,60,Cancelled,25.49,10.4,2,0.8167,0.0,Friday,2025-08,Off-Peak
T00095,R06,East Park - Central Station,2025-11-19,13:20,13:38,13:49,22,50,Completed,21.31,9.8,11,0.44,468.82,Wednesday,2025-11,Off-Peak
T00096,R13,East Park - Medical Hub,2025-06-30,09:30,09:51,10:03,37,50,Cancelled,27.55,11.5,12,0.74,0.0,Monday,2025-06,Peak
T00097,R15,City Center - Railway Colony,2026-05-14,06:30,06:44,06:50,17,50,Completed,20.22,7.6,6,0.34,343.74,Thursday,2026-05,Off-Peak
T00098,R02,Central Station - University,2025-11-16,08:00,08:22,08:30,60,70,Completed,28.81,12.2,8,0.8571,1728.6,Sunday,2025-11,Peak
T00099,R10,Industrial Area - Airport,2025-03-24,10:30,11:09,11:12,25,60,Completed,49.21,21.1,3,0.4167,1230.25,Monday,2025-03,Off-Peak
T00100,R12,South Terminal - University,2025-10-30,13:20,13:44,13:52,75,50,Completed,30.93,13.1,8,1.5,2319.75,Thursday,2025-10,Off-Peak
T00101,R02,Central Station - University,2025-09-19,07:10,07:32,07:41,72,50,Completed,30.34,12.2,9,1.44,2184.48,Friday,2025-09,Peak
T00102,R10,Industrial Area - Airport,2025-07-19,10:50,11:29,11:41,27,50,Completed,47.17,21.1,12,0.54,1273.59,Saturday,2025-07,Off-Peak
T00103,R14,West End - Airport,2025-08-28,17:00,17:36,17:50,38,60,Completed,45.09,19.2,14,0.6333,1713.42,Thursday,2025-08,Peak
T00104,R04,North Terminal - City Center,2025-10-22,17:50,18:09,18:21,61,50,Completed,24.18,10.4,12,1.22,1474.98,Wednesday,2025-10,Peak
T00105,R14,West End - Airport,2026-05-27,17:30,18:06,18:21,40,50,Completed,43.57,19.2,15,0.8,1742.8,Wednesday,2026-05,Peak
T00106,R15,City Center - Railway Colony,2026-01-31,20:30,20:44,20:47,23,60,Completed,17.31,7.6,3,0.3833,398.13,Saturday,2026-01,Off-Peak
T00107,R15,City Center - Railway Colony,2025-05-18,09:40,09:54,09:59,23,50,Completed,18.68,7.6,5,0.46,429.64,Sunday,2025-05,Peak
T00108,R08,City Center - Medical Hub,2025-05-09,10:00,10:16,10:19,50,50,Completed,22.04,8.9,3,1.0,1102.0,Friday,2025-05,Off-Peak
T00109,R14,West End - Airport,2025-02-18,12:00,12:36,12:44,25,50,Completed,41.01,19.2,8,0.5,1025.25,Tuesday,2025-02,Off-Peak
T00110,R07,West End - Central Station,2025-10-20,19:20,19:45,19:52,48,70,Completed,33.67,13.6,7,0.6857,1616.16,Monday,2025-10,Peak
T00111,R12,South Terminal - University,2026-06-20,17:10,17:34,17:40,80,50,Completed,30.8,13.1,6,1.6,2464.0,Saturday,2026-06,Peak
T00112,R09,University - Airport,2025-11-07,12:20,12:50,12:51,33,60,Completed,38.25,16.3,1,0.55,1262.25,Friday,2025-11,Off-Peak
T00113,R14,West End - Airport,2026-06-21,09:20,09:56,10:08,31,60,Completed,43.26,19.2,12,0.5167,1341.06,Sunday,2026-06,Peak
T00114,R08,City Center - Medical Hub,2025-08-22,15:20,15:36,15:42,39,60,Completed,20.94,8.9,6,0.65,816.66,Friday,2025-08,Off-Peak
T00115,R05,South Terminal - City Center,2025-07-28,11:10,11:31,11:38,43,50,Completed,24.55,11.7,7,0.86,1055.65,Monday,2025-07,Off-Peak
T00116,R13,East Park - Medical Hub,2025-04-04,14:20,14:41,14:51,33,50,Completed,28.18,11.5,10,0.66,929.94,Friday,2025-04,Off-Peak
T00117,R02,Central Station - University,2025-11-23,20:50,21:12,21:19,31,50,Completed,30.4,12.2,7,0.62,942.4,Sunday,2025-11,Off-Peak
T00118,R15,City Center - Railway Colony,2025-08-13,14:00,14:14,14:23,30,50,Completed,19.07,7.6,9,0.6,572.1,Wednesday,2025-08,Off-Peak
T00119,R05,South Terminal - City Center,2025-01-11,20:10,20:31,20:40,16,60,Completed,25.67,11.7,9,0.2667,410.72,Saturday,2025-01,Off-Peak
T00120,R08,City Center - Medical Hub,2025-11-25,13:30,13:46,13:48,45,50,Completed,23.36,8.9,2,0.9,1051.2,Tuesday,2025-11,Off-Peak
T00121,R10,Industrial Area - Airport,2025-01-12,15:40,16:19,16:36,24,50,Completed,49.1,21.1,17,0.48,1178.4,Sunday,2025-01,Off-Peak
T00122,R09,University - Airport,2025-02-04,19:40,20:10,20:18,57,50,Completed,37.7,16.3,8,1.14,2148.9,Tuesday,2025-02,Peak
T00123,R12,South Terminal - University,2026-03-23,14:50,15:14,15:21,60,60,Completed,31.45,13.1,7,1.0,1887.0,Monday,2026-03,Off-Peak
T00124,R12,South Terminal - University,2026-03-28,15:00,15:24,15:29,75,70,Completed,32.67,13.1,5,1.0714,2450.25,Saturday,2026-03,Off-Peak
T00125,R12,South Terminal - University,2025-08-08,16:40,17:04,17:11,71,50,Completed,31.47,13.1,7,1.42,2234.37,Friday,2025-08,Off-Peak
T00126,R13,East Park - Medical Hub,2026-03-17,19:50,20:11,20:27,56,50,Completed,28.38,11.5,16,1.12,1589.28,Tuesday,2026-03,Peak
T00127,R09,University - Airport,2026-06-19,09:50,10:20,10:35,45,50,Completed,39.64,16.3,15,0.9,1783.8,Friday,2026-06,Peak
T00128,R13,East Park - Medical Hub,2025-08-17,12:40,13:01,13:06,13,50,Completed,27.74,11.5,5,0.26,360.62,Sunday,2025-08,Off-Peak
T00129,R15,City Center - Railway Colony,2025-12-10,13:40,13:54,13:55,30,50,Completed,17.32,7.6,1,0.6,519.6,Wednesday,2025-12,Off-Peak
T00130,R13,East Park - Medical Hub,2025-03-21,19:50,20:11,20:30,45,50,Completed,31.24,11.5,19,0.9,1405.8,Friday,2025-03,Peak
T00131,R01,Central Station - Airport,2025-12-19,20:50,21:24,21:37,50,70,Completed,43.78,18.5,13,0.7143,2189.0,Friday,2025-12,Off-Peak
T00132,R09,University - Airport,2026-01-31,09:30,10:00,10:02,30,60,Completed,38.97,16.3,2,0.5,1169.1,Saturday,2026-01,Peak
T00133,R07,West End - Central Station,2025-10-17,09:40,10:05,10:17,46,70,Completed,30.94,13.6,12,0.6571,1423.24,Friday,2025-10,Peak
T00134,R09,University - Airport,2026-03-31,20:20,20:50,20:51,43,50,Completed,37.55,16.3,1,0.86,1614.65,Tuesday,2026-03,Off-Peak
T00135,R08,City Center - Medical Hub,2025-05-08,12:50,13:06,13:12,44,70,Completed,19.59,8.9,6,0.6286,861.96,Thursday,2025-05,Off-Peak
T00136,R01,Central Station - Airport,2026-06-27,11:00,11:34,11:42,39,60,Completed,41.32,18.5,8,0.65,1611.48,Saturday,2026-06,Off-Peak
T00137,R12,South Terminal - University,2025-12-25,07:00,07:24,07:37,79,70,Completed,30.05,13.1,13,1.1286,2373.95,Thursday,2025-12,Peak
T00138,R08,City Center - Medical Hub,2026-06-11,11:50,12:06,12:06,40,50,Completed,21.06,8.9,0,0.8,842.4,Thursday,2026-06,Off-Peak
T00139,R08,City Center - Medical Hub,2025-11-09,16:00,16:16,16:29,33,60,Completed,19.49,8.9,13,0.55,643.17,Sunday,2025-11,Off-Peak
T00140,R15,City Center - Railway Colony,2025-03-16,13:30,13:44,13:47,24,60,Completed,16.94,7.6,3,0.4,406.56,Sunday,2025-03,Off-Peak
T00141,R11,North Terminal - University,2026-06-30,14:30,14:57,15:02,42,60,Completed,34.88,14.7,5,0.7,1464.96,Tuesday,2026-06,Off-Peak
T00142,R03,Central Station - Industrial Area,2025-07-15,19:50,20:19,20:33,69,60,Completed,36.73,15.8,14,1.15,2534.37,Tuesday,2025-07,Peak
T00143,R01,Central Station - Airport,2025-01-29,09:40,10:14,10:23,71,60,Completed,43.72,18.5,9,1.1833,3104.12,Wednesday,2025-01,Peak
T00144,R08,City Center - Medical Hub,2025-01-16,08:20,08:36,08:49,70,70,Completed,20.39,8.9,13,1.0,1427.3,Thursday,2025-01,Peak
T00145,R03,Central Station - Industrial Area,2026-02-27,18:40,19:09,19:24,63,60,Completed,36.87,15.8,15,1.05,2322.81,Friday,2026-02,Peak
T00146,R03,Central Station - Industrial Area,2026-02-09,17:00,17:29,17:44,60,70,Completed,36.09,15.8,15,0.8571,2165.4,Monday,2026-02,Peak
T00147,R01,Central Station - Airport,2026-06-15,11:20,11:54,12:02,61,60,Completed,41.9,18.5,8,1.0167,2555.9,Monday,2026-06,Off-Peak
T00148,R11,North Terminal - University,2025-03-18,12:00,12:27,12:28,30,60,Completed,32.81,14.7,1,0.5,984.3,Tuesday,2025-03,Off-Peak
T00149,R05,South Terminal - City Center,2025-08-17,12:20,12:41,12:50,24,50,Completed,24.83,11.7,9,0.48,595.92,Sunday,2025-08,Off-Peak
T00150,R10,Industrial Area - Airport,2025-10-24,15:50,16:29,16:44,33,50,Completed,47.5,21.1,15,0.66,1567.5,Friday,2025-10,Off-Peak
T00151,R07,West End - Central Station,2026-05-25,08:10,08:35,08:43,42,70,Completed,30.23,13.6,8,0.6,1269.66,Monday,2026-05,Peak
T00152,R10,Industrial Area - Airport,2026-06-22,13:30,14:09,14:18,31,70,Completed,46.0,21.1,9,0.4429,1426.0,Monday,2026-06,Off-Peak
T00153,R09,University - Airport,2025-11-22,09:30,10:00,10:15,44,60,Completed,36.66,16.3,15,0.7333,1613.04,Saturday,2025-11,Peak
T00154,R12,South Terminal - University,2025-12-29,18:50,19:14,19:29,85,60,Completed,31.44,13.1,15,1.4167,2672.4,Monday,2025-12,Peak
T00155,R07,West End - Central Station,2025-12-25,12:00,12:25,12:29,36,50,Completed,29.08,13.6,4,0.72,1046.88,Thursday,2025-12,Off-Peak
T00156,R09,University - Airport,2025-11-20,14:00,14:30,14:34,38,50,Completed,36.98,16.3,4,0.76,1405.24,Thursday,2025-11,Off-Peak
T00157,R08,City Center - Medical Hub,2025-11-22,07:10,07:26,07:37,38,60,Completed,19.39,8.9,11,0.6333,736.82,Saturday,2025-11,Peak
T00158,R12,South Terminal - University,2025-06-14,08:40,09:04,09:16,68,50,Completed,31.88,13.1,12,1.36,2167.84,Saturday,2025-06,Peak
T00159,R02,Central Station - University,2026-03-31,16:20,16:42,16:52,46,50,Completed,30.96,12.2,10,0.92,1424.16,Tuesday,2026-03,Off-Peak
T00160,R01,Central Station - Airport,2025-06-02,17:50,18:24,18:27,85,50,Completed,43.0,18.5,3,1.7,3655.0,Monday,2025-06,Peak
T00161,R07,West End - Central Station,2025-05-07,16:10,16:35,16:41,39,50,Completed,33.14,13.6,6,0.78,1292.46,Wednesday,2025-05,Off-Peak
T00162,R07,West End - Central Station,2025-07-12,16:50,17:15,17:22,26,50,Completed,35.62,13.6,7,0.52,926.12,Saturday,2025-07,Off-Peak
T00163,R14,West End - Airport,2026-06-14,09:10,09:46,09:52,25,50,Completed,40.1,19.2,6,0.5,1002.5,Sunday,2026-06,Peak
T00164,R08,City Center - Medical Hub,2025-01-10,16:00,16:16,16:24,35,70,Completed,22.03,8.9,8,0.5,771.05,Friday,2025-01,Off-Peak
T00165,R05,South Terminal - City Center,2025-04-02,10:00,10:21,10:25,43,70,Completed,27.39,11.7,4,0.6143,1177.77,Wednesday,2025-04,Off-Peak
T00166,R03,Central Station - Industrial Area,2025-05-19,09:40,10:09,10:26,71,50,Cancelled,36.81,15.8,17,1.42,0.0,Monday,2025-05,Peak
T00167,R12,South Terminal - University,2026-04-26,17:50,18:14,18:24,75,60,Cancelled,29.69,13.1,10,1.25,0.0,Sunday,2026-04,Peak
T00168,R08,City Center - Medical Hub,2026-03-25,19:50,20:06,20:17,77,50,Completed,22.11,8.9,11,1.54,1702.47,Wednesday,2026-03,Peak
T00169,R06,East Park - Central Station,2025-11-29,16:40,16:58,17:00,18,60,Completed,24.56,9.8,2,0.3,442.08,Saturday,2025-11,Off-Peak
T00170,R11,North Terminal - University,2025-12-06,17:00,17:27,17:43,37,60,Completed,34.65,14.7,16,0.6167,1282.05,Saturday,2025-12,Peak
T00171,R03,Central Station - Industrial Area,2025-02-21,22:30,22:59,23:12,52,60,Completed,33.91,15.8,13,0.8667,1763.32,Friday,2025-02,Off-Peak
T00172,R01,Central Station - Airport,2026-04-11,09:40,10:14,10:25,60,60,Completed,43.18,18.5,11,1.0,2590.8,Saturday,2026-04,Peak
T00173,R03,Central Station - Industrial Area,2026-04-20,21:10,21:39,21:47,35,50,Completed,35.22,15.8,8,0.7,1232.7,Monday,2026-04,Off-Peak
T00174,R05,South Terminal - City Center,2026-02-05,15:00,15:21,15:32,29,60,Cancelled,26.83,11.7,11,0.4833,0.0,Thursday,2026-02,Off-Peak
T00175,R15,City Center - Railway Colony,2026-03-15,18:50,19:04,19:18,18,60,Completed,18.1,7.6,14,0.3,325.8,Sunday,2026-03,Peak
T00176,R14,West End - Airport,2026-05-24,15:50,16:26,16:32,23,60,Completed,44.24,19.2,6,0.3833,1017.52,Sunday,2026-05,Off-Peak
